Wavelength(nm)	R_simulated	R_experimental
3.312500e+02	0.547697	0.170710
3.315000e+02	0.548294	0.171090
3.317500e+02	0.548875	0.171270
3.320000e+02	0.549441	0.171170
3.322500e+02	0.549992	0.171310
3.325000e+02	0.550528	0.171250
3.327500e+02	0.551049	0.171210
3.330000e+02	0.551555	0.171250
3.332500e+02	0.552046	0.171570
3.335000e+02	0.552523	0.171780
3.337500e+02	0.552987	0.171970
3.340000e+02	0.553436	0.171930
3.342500e+02	0.553872	0.171970
3.345000e+02	0.554294	0.172090
3.347500e+02	0.554703	0.172520
3.350000e+02	0.555098	0.172690
3.352500e+02	0.555480	0.172600
3.355000e+02	0.555850	0.172420
3.357500e+02	0.556206	0.172560
3.360000e+02	0.556550	0.172710
3.362500e+02	0.556882	0.172570
3.365000e+02	0.557201	0.172450
3.367500e+02	0.557509	0.172680
3.370000e+02	0.557805	0.172670
3.372500e+02	0.558088	0.172620
3.375000e+02	0.558361	0.173040
3.377500e+02	0.558622	0.172980
3.380000e+02	0.558871	0.172660
3.382500e+02	0.559110	0.172940
3.385000e+02	0.559338	0.173160
3.387500e+02	0.559555	0.172510
3.390000e+02	0.559761	0.172530
3.392500e+02	0.559957	0.172570
3.395000e+02	0.560143	0.172270
3.397500e+02	0.560318	0.172540
3.400000e+02	0.560483	0.172960
3.402500e+02	0.560638	0.172530
3.405000e+02	0.560784	0.172720
3.407500e+02	0.560920	0.172800
3.410000e+02	0.561047	0.171910
3.412500e+02	0.561164	0.171380
3.415000e+02	0.561272	0.171280
3.417500e+02	0.561371	0.171550
3.420000e+02	0.561461	0.171590
3.422500e+02	0.561542	0.171100
3.425000e+02	0.561615	0.171540
3.427500e+02	0.561679	0.172010
3.430000e+02	0.561735	0.170900
3.432500e+02	0.561782	0.170190
3.435000e+02	0.561821	0.170560
3.437500e+02	0.561853	0.170080
3.440000e+02	0.561877	0.169590
3.442500e+02	0.561892	0.169860
3.445000e+02	0.561900	0.169720
3.447500e+02	0.561902	0.169720
3.450000e+02	0.561895	0.170260
3.452500e+02	0.561882	0.169880
3.455000e+02	0.561862	0.169120
3.457500e+02	0.561835	0.169130
3.460000e+02	0.561801	0.168990
3.462500e+02	0.561762	0.168810
3.465000e+02	0.561715	0.168740
3.467500e+02	0.561662	0.168480
3.470000e+02	0.561605	0.168360
3.472500e+02	0.561542	0.168130
3.475000e+02	0.561471	0.167940
3.477500e+02	0.561397	0.168100
3.480000e+02	0.561319	0.167760
3.482500e+02	0.561236	0.167440
3.485000e+02	0.561145	0.167410
3.487500e+02	0.561049	0.167470
3.490000e+02	0.560952	0.167500
3.492500e+02	0.560852	0.166740
3.495000e+02	0.560746	0.165920
3.497500e+02	0.560637	0.166060
3.500000e+02	0.560526	0.166650
3.502500e+02	0.560411	0.166450
3.505000e+02	0.560293	0.165870
3.507500e+02	0.560173	0.165600
3.510000e+02	0.560050	0.165280
3.512500e+02	0.559923	0.164860
3.515000e+02	0.559796	0.165230
3.517500e+02	0.559665	0.165110
3.520000e+02	0.559532	0.164780
3.522500e+02	0.559397	0.165270
3.525000e+02	0.559260	0.165480
3.527500e+02	0.559119	0.165140
3.530000e+02	0.558977	0.164400
3.532500e+02	0.558832	0.163900
3.535000e+02	0.558683	0.163900
3.537500e+02	0.558531	0.163920
3.540000e+02	0.558376	0.164270
3.542500e+02	0.558216	0.164280
3.545000e+02	0.558052	0.163720
3.547500e+02	0.557883	0.164100
3.550000e+02	0.557708	0.164140
3.552500e+02	0.557525	0.163200
3.555000e+02	0.557339	0.163070
3.557500e+02	0.557142	0.163340
3.560000e+02	0.556934	0.163060
3.562500e+02	0.556722	0.163220
3.565000e+02	0.556498	0.162670
3.567500e+02	0.556248	0.162740
3.570000e+02	0.555985	0.163640
3.572500e+02	0.555719	0.163130
3.575000e+02	0.555447	0.162300
3.577500e+02	0.555156	0.162560
3.580000e+02	0.554832	0.163290
3.582500e+02	0.554491	0.163080
3.585000e+02	0.554139	0.163170
3.587500e+02	0.553755	0.163230
3.590000e+02	0.553346	0.162400
3.592500e+02	0.552919	0.162550
3.595000e+02	0.552462	0.162790
3.597500e+02	0.551973	0.162010
3.600000e+02	0.551459	0.161490
3.602500e+02	0.550915	0.161750
3.605000e+02	0.550334	0.161640
3.607500e+02	0.549721	0.161100
3.610000e+02	0.549077	0.160840
3.612500e+02	0.548393	0.160830
3.615000e+02	0.547670	0.160490
3.617500e+02	0.546914	0.160190
3.620000e+02	0.546114	0.160100
3.622500e+02	0.545272	0.159270
3.625000e+02	0.544391	0.158760
3.627500e+02	0.543468	0.159060
3.630000e+02	0.542497	0.158720
3.632500e+02	0.541483	0.157660
3.635000e+02	0.540426	0.157510
3.637500e+02	0.539319	0.157630
3.640000e+02	0.538165	0.157240
3.642500e+02	0.536966	0.156870
3.645000e+02	0.535717	0.156780
3.647500e+02	0.534417	0.156400
3.650000e+02	0.533070	0.155900
3.652500e+02	0.531673	0.155610
3.655000e+02	0.530225	0.154780
3.657500e+02	0.528726	0.154290
3.660000e+02	0.527178	0.153820
3.662500e+02	0.525577	0.153170
3.665000e+02	0.523925	0.152760
3.667500e+02	0.522222	0.152690
3.670000e+02	0.520468	0.152160
3.672500e+02	0.518661	0.151130
3.675000e+02	0.516804	0.150660
3.677500e+02	0.514897	0.150220
3.680000e+02	0.512939	0.149650
3.682500e+02	0.510931	0.149420
3.685000e+02	0.508871	0.149260
3.687500e+02	0.506762	0.148750
3.690000e+02	0.504603	0.148120
3.692500e+02	0.502394	0.147810
3.695000e+02	0.500137	0.147580
3.697500e+02	0.497835	0.146970
3.700000e+02	0.495484	0.146450
3.702500e+02	0.493084	0.145600
3.705000e+02	0.490644	0.144960
3.707500e+02	0.488159	0.144380
3.710000e+02	0.485621	0.144110
3.712500e+02	0.483052	0.143770
3.715000e+02	0.480448	0.142950
3.717500e+02	0.477784	0.142270
3.720000e+02	0.475062	0.141980
3.722500e+02	0.472321	0.141080
3.725000e+02	0.469566	0.140140
3.727500e+02	0.466790	0.139520
3.730000e+02	0.463950	0.138930
3.732500e+02	0.461063	0.138690
3.735000e+02	0.458162	0.138120
3.737500e+02	0.455241	0.137280
3.740000e+02	0.452272	0.136400
3.742500e+02	0.449278	0.135650
3.745000e+02	0.446274	0.134820
3.747500e+02	0.443237	0.134270
3.750000e+02	0.440173	0.134030
3.752500e+02	0.437098	0.133680
3.755000e+02	0.434006	0.132630
3.757500e+02	0.430890	0.131690
3.760000e+02	0.427761	0.131040
3.762500e+02	0.424626	0.130510
3.765000e+02	0.421472	0.129950
3.767500e+02	0.418307	0.129450
3.770000e+02	0.415140	0.128380
3.772500e+02	0.411965	0.127880
3.775000e+02	0.408781	0.127360
3.777500e+02	0.405595	0.126180
3.780000e+02	0.402412	0.125480
3.782500e+02	0.399223	0.125070
3.785000e+02	0.396034	0.124490
3.787500e+02	0.392851	0.123600
3.790000e+02	0.389670	0.122730
3.792500e+02	0.386490	0.122020
3.795000e+02	0.383318	0.121370
3.797500e+02	0.380155	0.120710
3.800000e+02	0.376996	0.120220
3.802500e+02	0.373845	0.119730
3.805000e+02	0.370706	0.119280
3.807500e+02	0.367575	0.118350
3.810000e+02	0.364453	0.117710
3.812500e+02	0.361343	0.116940
3.815000e+02	0.358246	0.117000
3.817500e+02	0.355159	0.116580
3.820000e+02	0.352084	0.115710
3.822500e+02	0.349023	0.115020
3.825000e+02	0.345973	0.114490
3.827500e+02	0.342936	0.113750
3.830000e+02	0.339912	0.112850
3.832500e+02	0.336901	0.112020
3.835000e+02	0.333903	0.111630
3.837500e+02	0.330918	0.111770
3.840000e+02	0.327946	0.110970
3.842500e+02	0.324986	0.109940
3.845000e+02	0.322039	0.109150
3.847500e+02	0.319104	0.108630
3.850000e+02	0.316182	0.107750
3.852500e+02	0.313273	0.107260
3.855000e+02	0.310376	0.106450
3.857500e+02	0.307489	0.105490
3.860000e+02	0.304614	0.105240
3.862500e+02	0.301750	0.105000
3.865000e+02	0.298896	0.104450
3.867500e+02	0.296054	0.103480
3.870000e+02	0.293222	0.102470
3.872500e+02	0.290401	0.101240
3.875000e+02	0.287590	0.100240
3.877500e+02	0.284789	0.099890
3.880000e+02	0.281998	0.099590
3.882500e+02	0.279217	0.099070
3.885000e+02	0.276447	0.098210
3.887500e+02	0.273686	0.097380
3.890000e+02	0.270935	0.096580
3.892500e+02	0.268194	0.096350
3.895000e+02	0.265461	0.096000
3.897500e+02	0.262738	0.095090
3.900000e+02	0.260023	0.094760
3.902500e+02	0.257319	0.094360
3.905000e+02	0.254624	0.092970
3.907500e+02	0.251940	0.092170
3.910000e+02	0.249264	0.092240
3.912500e+02	0.246598	0.091320
3.915000e+02	0.243940	0.089690
3.917500e+02	0.241292	0.088880
3.920000e+02	0.238654	0.088620
3.922500e+02	0.236027	0.087500
3.925000e+02	0.233409	0.086220
3.927500e+02	0.230801	0.085300
